"Etapa/Actividad","Descripción aplicada al caso práctico"
"1. Análisis de viabilidad técnica vs. económica","https://www.ridaa.unicen.edu.ar/bitstreams/9af55f0e-2ee8-4295-8f8f-14aee685d51e/download"
"2. Análisis de viabilidad (ejemplo pagos en línea)","https://www.ridaa.unicen.edu.ar/bitstreams/9af55f0e-2ee8-4295-8f8f-14aee685d51e/download"
"3. Involucramiento de stakeholders","https://publicaciones.asoc-aeim.es/anales/article/view/87"
"4. Identificación y mitigación de riesgos","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432023000100006"
"5. Priorización ágil de requerimientos","https://www.mecalux.es/blog/ejemplo-inventario"
"6. Documentación en la planeación","https://www.inesdi.com/blog/ciclo-vida-proyecto-fases/"
"7. Estimación de recursos humanos y materiales","https://clickup.com/es-ES/blog/156960/desarrollo-de-software-kpis"
"8. Importancia de los estudios de factibilidad","https://www.ridaa.unicen.edu.ar/bitstreams/9af55f0e-2ee8-4295-8f8f-14aee685d51e/download"
"9. Cultura organizacional y viabilidad","https://publicaciones.asoc-aeim.es/anales/article/view/87"
"10. Planeación y ciclo de vida del software","https://www.inesdi.com/blog/ciclo-vida-proyecto-fases/"
"11. Roles claros y KPIs","https://publicaciones.asoc-aeim.es/anales/article/view/87"
